	idx	beta	pval	cilb	ciub	i2	tau2
ZNF132	624	-0.584943142222495	9.57716700068595e-06	-0.843943686385095	-0.325942598059895	98.1218549240763	0.37155329465779
SPI1	673	0.139160183991054	0.59586865939092	-0.375119977995122	0.65344034597723	98.4098284011439	1.50752044280955
S1PR4	26200	-0.290653291625828	0.157357444113003	-0.693527312902473	0.112220729650817	96.3830339196094	0.871734469230962
NFAM1	3124	0.101683540245906	0.676758593002534	-0.376370375133503	0.579737455625315	98.0812628118944	1.3019232529677
OSM	28902	0.696678484150847	0.000958251137164692	0.283215244563587	1.11014172373811	90.9267273508984	0.834042381361094
IRF4	18789	-0.69930423251725	0.0103363817357575	-1.23378718656	-0.164821278474497	96.0918092448945	1.49955253983076
GSC	3704	1.33723660594391	0.00103875076155176	0.538125873413654	2.13634733847417	95.3261859125157	2.81552490672869
HLA-DRB1	6337	-0.1925206038782	0.356278917826636	-0.601563583319671	0.21652237556327	97.4258441046921	0.94002894242119
DIRAS3	11829	-1.55819089259492	4.1363351075317e-07	-2.16144094943683	-0.954940835753012	98.3456265765421	2.02379693493164
CYP7B1	2194	-1.09780443865517	1.94742242535835e-12	-1.40351582262851	-0.792093054681839	96.1629457545266	0.483285172529654
OLFM4	24802	-1.2495148623031	0.0947393752525835	-2.71518538261461	0.216155658008416	97.328110987032	11.561776887112
